,year,period,expenses,income
0,2008,Q1,410000.0,0.0
1,2008,Q2,740000.0,0.0
2,2008,Q3,1930000.0,0.0
3,2008,Q4,1540000.0,0.0
4,2009,Q1,410000.0,0.0
5,2009,Q2,250000.0,0.0
6,2009,Q3,273000.0,0.0
7,2009,Q4,265000.0,0.0
8,2010,Q1,235000.0,0.0
9,2010,Q2,160000.0,0.0
10,2010,Q3,100000.0,0.0
11,2010,Q4,140000.0,0.0
12,2011,Q1,340000.0,0.0
13,2011,Q2,200000.0,0.0
14,2011,Q3,240000.0,0.0
15,2011,Q4,270000.0,20000.0
16,2012,Q1,520000.0,20000.0
17,2012,Q2,610000.0,30000.0
18,2012,Q3,280000.0,40000.0
19,2012,Q4,370000.0,20000.0
20,2013,Q1,1960000.0,44000.0
21,2013,Q2,380000.0,40000.0
22,2013,Q3,360000.0,40000.0
23,2013,Q4,390000.0,40000.0
24,2014,Q1,1070000.0,50000.0
25,2014,Q2,470000.0,50000.0
26,2014,Q3,460000.0,75000.0
27,2014,Q4,510000.0,60000.0
28,2015,Q1,730000.0,80000.0
29,2015,Q2,440000.0,84000.0
30,2015,Q3,430000.0,84000.0
31,2015,Q4,500000.0,94000.0
32,2016,Q1,960000.0,114000.0
33,2016,Q2,510000.0,124000.0
34,2016,Q3,500000.0,124000.0
35,2016,Q4,530000.0,104000.0
36,2017,Q1,1370000.0,104000.0
37,2017,Q2,470000.0,104000.0
38,2017,Q3,0.0,80000.0
39,2017,Q4,520000.0,60000.0
40,2018,Q1,670000.0,90000.0
41,2018,Q2,550000.0,70000.0
42,2018,Q3,550000.0,70000.0
43,2018,Q4,560000.0,50000.0
44,2019,Q1,580000.0,60000.0
45,2019,Q2,550000.0,80000.0
46,2019,Q3,540000.0,80000.0
47,2019,Q4,580000.0,80000.0
48,2020,Q1,700000.0,80000.0
49,2020,Q2,720000.0,130000.0
50,2020,Q3,630000.0,110000.0
51,2020,Q4,640000.0,90000.0
52,2021,Q1,960000.0,120000.0
53,2021,Q2,640000.0,120000.0
54,2021,Q3,630000.0,120000.0
55,2021,Q4,810000.0,120000.0
56,2022,Q1,1090000.0,140000.0
57,2022,Q2,750000.0,140000.0
58,2022,Q3,710000.0,110000.0
59,2022,Q4,680000.0,150000.0
60,2023,Q1,770000.0,150000.0
61,2023,Q2,800000.0,130000.0
62,2023,Q3,750000.0,110000.0
63,2023,Q4,0.0,40000.0
